stage,gamble type,block,completed,block initial points,block final points,trial initial points,trial final points,choice latency,n left colour boxes,token box,left colour chosen,response latency,stake index,percentage staked,points staked,left won,subject won
3,Ascending,1,yes,100,219,100,150,2250,9,7,yes,399,3,50,50,yes,yes
3,Ascending,1,,,,150,188,3007,4,8,no,383,2,25,38,no,yes
3,Ascending,1,,,,188,282,1737,8,2,yes,390,3,50,94,yes,yes
3,Ascending,1,,,,282,141,1284,2,1,no,405,3,50,141,yes,no
3,Ascending,1,,,,141,212,1994,7,6,yes,409,3,50,71,yes,yes
3,Ascending,1,,,,212,201,3618,5,3,no,759,1,5,11,yes,no
3,Ascending,1,,,,201,251,1620,3,6,no,683,2,25,50,no,yes
3,Ascending,1,,,,251,125,1547,6,9,yes,464,3,50,126,no,no
3,Ascending,1,,,,125,219,1347,1,4,no,635,4,75,94,no,yes
3,Ascending,2,yes,100,695,100,150,2168,2,9,no,371,3,50,50,no,yes
3,Ascending,2,,,,150,188,1732,4,10,no,351,2,25,38,no,yes
3,Ascending,2,,,,188,141,2034,3,1,no,812,2,25,47,yes,no
3,Ascending,2,,,,141,212,1031,8,6,yes,440,3,50,71,yes,yes
3,Ascending,2,,,,212,201,4706,5,7,yes,659,1,5,11,no,no
3,Ascending,2,,,,201,151,3133,6,8,yes,443,2,25,50,no,no
3,Ascending,2,,,,151,227,2645,7,5,yes,412,3,50,76,yes,yes
3,Ascending,2,,,,227,397,1710,1,10,no,344,4,75,170,no,yes
3,Ascending,2,,,,397,695,1601,9,3,yes,838,4,75,298,yes,yes
5,Descending,3,yes,100,427,100,175,2604,1,3,no,617,2,75,75,no,yes
5,Descending,3,,,,175,184,1691,6,5,yes,333,5,5,9,yes,yes
5,Descending,3,,,,184,276,1983,2,8,no,378,3,50,92,no,yes
5,Descending,3,,,,276,138,2272,8,9,yes,403,3,50,138,no,no
5,Descending,3,,,,138,207,1576,3,4,no,866,3,50,69,no,yes
5,Descending,3,,,,207,217,2183,5,7,no,399,5,5,10,no,yes
5,Descending,3,,,,217,326,1231,7,4,yes,948,3,50,109,yes,yes
5,Descending,3,,,,326,244,2671,4,1,no,337,4,25,82,yes,no
5,Descending,3,,,,244,427,1714,9,6,yes,346,2,75,183,yes,yes
5,Descending,4,yes,100,550,100,175,1592,8,1,yes,669,2,75,75,yes,yes
5,Descending,4,,,,175,263,1532,6,2,yes,629,3,50,88,yes,yes
5,Descending,4,,,,263,131,1065,7,9,yes,533,3,50,132,no,no
5,Descending,4,,,,131,229,1216,2,10,no,278,2,75,98,no,yes
5,Descending,4,,,,229,172,2267,5,3,no,644,4,25,57,yes,no
5,Descending,4,,,,172,129,1269,4,2,no,375,4,25,43,yes,no
5,Descending,4,,,,129,161,1552,3,5,no,301,4,25,32,no,yes
5,Descending,4,,,,161,314,2061,9,4,yes,625,1,95,153,yes,yes
5,Descending,4,,,,314,550,1691,1,7,no,489,2,75,236,no,yes
